NAME Score Natom Nflex Hbond Hphob VwInt Eintl Dsolv SolEl mfScore RecConf molLogP 
Z1419885248 -25.98787 45 6 -2.831246 -6.427079 -29.336319 7.856304 11.033535 4.458325 -80.229098 1 1.741493 
Z67741575 -25.96522 45 5 -3.52143 -7.360104 -29.0284 8.043393 13.307091 5.944471 -96.804609 1 2.678091 
Z1139413465 -25.792074 45 6 -2.788573 -7.817354 -28.238502 9.941796 9.097392 6.539546 -74.095747 1 1.164446 
Z26324353 -25.737847 45 3 -2.215678 -7.882392 -30.303692 5.853165 12.011622 7.036357 -111.433083 1 3.559928 
Z1174478479 -25.524946 45 7 -6.111031 -5.887781 -23.936345 4.111335 13.848918 4.894593 -58.616984 1 -0.429075 
Z27623391 -25.482739 45 4 -2.446259 -7.80473 -30.843379 4.342417 8.013766 12.679576 -95.830978 1 3.705239 
Z19713831 -25.459618 45 2 -5.29056 -5.826743 -28.795249 6.891784 16.45056 10.737495 -74.327395 1 1.325719 
Z28931219 -25.396872 45 5 -1.49727 -7.208416 -33.021906 6.715554 9.912122 8.801022 -101.511159 1 3.572002 
Z220815498 -25.337249 45 4 -2.955107 -7.354963 -28.649365 4.903785 7.764465 11.353051 -75.571512 1 0.178428 
Z297039746 -25.298818 45 3 -3.760627 -6.592418 -27.146369 5.616621 12.364829 7.129143 -94.736903 1 1.468251 
Z62866585 -25.256594 45 5 -2.999483 -6.084172 -31.732867 5.658289 13.883019 7.165295 -64.360134 1 0.230113 
Z79425186 -25.250712 45 5 -3.045835 -6.479985 -27.797389 8.506127 10.146403 6.03701 -87.860919 1 3.431567 
Z16536263 -25.249778 45 4 -2.30129 -6.29495 -27.987724 6.865065 12.010052 2.076193 -78.439375 1 2.347974 
Z297568202 -25.227337 45 3 -3.824204 -6.772849 -26.743932 5.442293 12.135845 7.314785 -105.829751 1 1.468251 
Z647208958 -30.904427 46 6 -6.439855 -5.849528 -30.234547 9.778462 16.535939 5.363913 -112.705914 1 1.733349 
Z647208958 -30.730176 46 6 -6.821336 -5.839402 -29.853496 9.16834 15.966644 7.149573 -95.939304 1 1.733349 
Z829133148 -29.708681 46 5 -6.017233 -6.892533 -29.570341 7.733624 16.079961 7.035282 -107.532676 1 2.987381 
Z1510191772 -29.528634 46 4 -5.362434 -6.334848 -26.563069 6.290906 12.012642 5.206453 -104.98221 1 2.758802 
Z1139322649 -29.440371 46 5 -2.744584 -6.971765 -29.19001 9.050079 7.556596 4.086473 -99.216983 1 2.859328 
Z608784856 -29.297694 46 7 -5.732438 -6.428493 -27.349379 4.289326 11.403945 6.225583 -88.967407 1 2.448907 
Z1334523994 -28.84061 46 2 -4.189617 -6.433463 -29.725471 9.104449 13.355825 6.936581 -99.049719 1 2.309807 
Z227423908 -28.243379 46 7 -3.797026 -6.072873 -31.734402 8.719946 12.927112 4.956046 -114.835008 1 3.786015 
Z1374912356 -27.898318 46 5 -3.844566 -7.848049 -28.867339 7.749588 11.544283 6.508718 -91.632198 1 3.300888 
Z240995712 -27.677649 46 7 -3.317725 -6.978644 -30.257104 8.978469 10.822458 5.048708 -104.676595 1 4.18643 
Z53061033 -27.304277 46 5 -2.609193 -7.664165 -31.558697 9.326196 10.68354 7.542445 -87.168921 1 3.696844 
Z16042889 -27.277944 46 6 -4.276164 -5.914733 -32.996946 9.597664 16.42009 6.947725 -90.018181 1 3.047344 
Z1252691336 -27.110055 46 4 -4.356107 -5.989233 -27.245149 5.73149 14.064187 3.364681 -86.743582 1 0.09298 
Z1297853390 -27.031474 46 7 -2.439056 -7.682381 -31.281495 8.950611 9.346371 6.60341 -101.858568 1 2.773759 
Z56792186 -26.913973 46 5 -1.299616 -7.232337 -36.228217 8.153802 9.59485 10.987575 -83.846001 1 4.420258 
Z16536715 -26.85449 46 4 -3.857478 -6.136751 -29.721348 6.781353 12.978196 6.976144 -95.086821 1 3.492718 
Z18026963 -26.509759 46 6 -3.508182 -5.891599 -31.576784 9.113516 14.659544 4.99309 -89.869726 1 1.984399 
Z1268664358 -26.488997 46 4 -3.087369 -7.593654 -29.492677 6.556778 9.898451 9.21005 -92.887973 1 2.419972 
Z229609968 -26.458118 46 2 -3.612988 -7.11043 -28.850783 7.675679 13.697641 7.309516 -93.320983 1 2.479293 
Z30353427 -26.36352 46 7 -5.071869 -5.855797 -32.326265 7.407297 16.678441 9.104738 -91.844233 1 0.816185 
Z737882376 -26.156737 46 5 -3.661667 -6.878758 -29.466522 7.827472 14.03994 5.534264 -92.586042 1 0.796379 
Z16128173 -25.94242 46 4 -3.808561 -6.346533 -25.431739 6.740294 12.120644 2.858595 -77.714564 1 3.003527 
Z19712551 -25.866479 46 2 -3.059935 -6.07128 -26.914451 3.423394 10.859769 5.322027 -61.801553 1 2.963833 
Z87666249 -25.772157 46 4 -2.96562 -7.480526 -28.897234 5.927107 7.620545 11.400969 -77.307538 1 1.906929 
Z839446118 -25.528548 46 5 -3.263997 -6.956492 -27.32694 2.505854 11.000727 5.252439 -91.179695 1 1.229642 
Z195918778 -25.48829 46 5 -2.885155 -6.807733 -32.368328 6.421174 13.532756 8.471356 -62.742439 1 1.664642 
